x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-115.875,32.625,0,-8.034727096557617,-0.8588222861289978,0.8211047649383545,0.0994424968957901,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,NA
-115.625,32.625,0,-6.878697872161865,0.2884039878845215,0.8126196265220642,-0.11059696972370148,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.375,32.625,0,-5.785562992095947,-0.3303549587726593,0.30897626280784607,-0.2959551215171814,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.125,32.625,0,-4.872068405151367,0.5805264711380005,-0.48372894525527954,-0.20591796934604645,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-114.875,32.625,0,-2.8433918952941895,-0.8588222861289978,-0.3183715343475342,-0.30301907658576965,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-116.875,32.375,0,-9.726325035095215,-1.645696997642517,1.8991615772247314,0.9496108293533325,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-116.625,32.375,0,-10.294099807739258,-1.4004184007644653,2.4388604164123535,1.2801162004470825,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-116.375,32.375,0,-10.327540397644043,-1.3271170854568481,2.573090076446533,1.154070496559143,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-116.125,32.375,0,-8.898859024047852,-0.9002357721328735,1.8000377416610718,0.6645710468292236,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.875,32.375,0,-8.014978408813477,-0.17175225913524628,0.992948591709137,-0.07766413688659668,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.625,32.375,0,-6.8270344734191895,0.26435720920562744,0.8141639232635498,-0.935052752494812,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,NA
-115.375,32.375,0,-5.988205432891846,0.2229405790567398,-0.47676414251327515,-1.1728689670562744,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.125,32.375,0,-5.19751501083374,0.26018133759498596,-0.8628706932067871,-1.0947132110595703,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-114.875,32.375,0,-3.9392452239990234,-0.5352934002876282,0.13494302332401276,-0.9533510804176331,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-114.625,32.375,0,-2.352217435836792,-0.6924331188201904,0.33914706110954285,-1.2169795036315918,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-116.875,32.125,0,-9.21914005279541,0.5146864652633667,1.6267141103744507,0.7536525130271912,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-116.625,32.125,0,-10.206995964050293,0.4167923927307129,2.075223684310913,0.912843644618988,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-116.375,32.125,0,-10.118465423583984,0.14723096787929535,2.294355869293213,0.8032472133636475,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,Hotspot
-116.125,32.125,0,-9.396211624145508,0.46519097685813904,1.8670862913131714,0.3862937390804291,Primary,Primary,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.875,32.125,0,-8.449713706970215,0.9159693717956543,1.352626085281372,-0.20031659305095673,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.625,32.125,0,-7.046069145202637,0.8159728050231934,0.9617523550987244,-0.5748245716094971,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,NA
-115.375,32.125,0,-6.190349102020264,1.1081207990646362,-0.7039211392402649,-0.7829300165176392,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-115.125,32.125,0,-5.8905229568481445,-0.15534068644046783,-1.231374979019165,-1.028341293334961,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-114.875,32.125,0,-4.3598151206970215,-0.04049275070428848,-0.10209270566701889,-0.7067376971244812,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,NA,NA
-114.625,32.125,0,NA,NA,NA,NA,Human use,Human use,Human use,Human use,NA,NA,NA,NA
-114.375,32.125,0,-0.7791590690612793,-1.0712863206863403,-0.8745654821395874,0.3576241135597229,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
